File,StartLine,EndLine,ConfigExpr,ConfigList,ConfigValues,Effective
linux-6.18-rc3/arch/riscv/kvm/gstage.c,14,16,CONFIG_64BIT,CONFIG_64BIT,CONFIG_64BIT=y,True
linux-6.18-rc3/arch/riscv/kvm/gstage.c,17,19,!(CONFIG_64BIT),CONFIG_64BIT,CONFIG_64BIT=y,False
linux-6.18-rc3/arch/riscv/kvm/gstage.c,318,341,CONFIG_64BIT,CONFIG_64BIT,CONFIG_64BIT=y,True
linux-6.18-rc3/arch/riscv/kvm/gstage.c,342,349,!(CONFIG_64BIT),CONFIG_64BIT,CONFIG_64BIT=y,False
linux-6.18-rc3/arch/riscv/kvm/vcpu_switch.S,273,440,CONFIG_FPU,CONFIG_FPU,CONFIG_FPU=y,True
linux-6.18-rc3/arch/riscv/kvm/vcpu_exit.c,114,115,CONFIG_64BIT,CONFIG_64BIT,CONFIG_64BIT=y,True
linux-6.18-rc3/arch/riscv/kvm/vcpu_exit.c,116,117,!(CONFIG_64BIT),CONFIG_64BIT,CONFIG_64BIT=y,False
linux-6.18-rc3/arch/riscv/kvm/vcpu_fp.c,16,74,CONFIG_FPU,CONFIG_FPU,CONFIG_FPU=y,True
linux-6.18-rc3/arch/riscv/kvm/vcpu_sbi_replace.c,29,30,__riscv_xlen == 32,,,False
linux-6.18-rc3/arch/riscv/kvm/vcpu_sbi_replace.c,31,32,!(__riscv_xlen == 32),,,False
linux-6.18-rc3/arch/riscv/kvm/vcpu_vector.c,18,93,CONFIG_RISCV_ISA_V,CONFIG_RISCV_ISA_V,CONFIG_RISCV_ISA_V=y,True
linux-6.18-rc3/arch/riscv/kvm/vcpu.c,229,233,CONFIG_GUEST_PERF_EVENTS,CONFIG_GUEST_PERF_EVENTS,CONFIG_GUEST_PERF_EVENTS=y,True
linux-6.18-rc3/arch/riscv/kvm/vcpu_sbi.c,15,20,CONFIG_RISCV_SBI_V01,CONFIG_RISCV_SBI_V01,CONFIG_RISCV_SBI_V01=y,True
linux-6.18-rc3/arch/riscv/kvm/vcpu_sbi.c,23,28,CONFIG_RISCV_PMU_SBI,CONFIG_RISCV_PMU_SBI,CONFIG_RISCV_PMU_SBI=y,True
linux-6.18-rc3/arch/riscv/kvm/vcpu_sbi.c,595,598,CONFIG_RISCV_SBI_V01,CONFIG_RISCV_SBI_V01,CONFIG_RISCV_SBI_V01=y,True
linux-6.18-rc3/arch/riscv/kvm/aia_imsic.c,262,265,CONFIG_32BIT,CONFIG_32BIT,CONFIG_32BIT=unset,False
linux-6.18-rc3/arch/riscv/kvm/aia_imsic.c,266,267,!(CONFIG_32BIT),CONFIG_32BIT,CONFIG_32BIT=unset,True
linux-6.18-rc3/arch/riscv/kvm/aia_imsic.c,300,302,CONFIG_32BIT,CONFIG_32BIT,CONFIG_32BIT=unset,False
linux-6.18-rc3/arch/riscv/kvm/aia_imsic.c,341,344,CONFIG_32BIT,CONFIG_32BIT,CONFIG_32BIT=unset,False
linux-6.18-rc3/arch/riscv/kvm/aia_imsic.c,345,346,!(CONFIG_32BIT),CONFIG_32BIT,CONFIG_32BIT=unset,True
linux-6.18-rc3/arch/riscv/kvm/aia_imsic.c,399,401,CONFIG_32BIT,CONFIG_32BIT,CONFIG_32BIT=unset,False
linux-6.18-rc3/arch/riscv/kvm/aia_imsic.c,411,413,CONFIG_32BIT,CONFIG_32BIT,CONFIG_32BIT=unset,False
linux-6.18-rc3/arch/riscv/kvm/aia_imsic.c,473,475,CONFIG_32BIT,CONFIG_32BIT,CONFIG_32BIT=unset,False
linux-6.18-rc3/arch/riscv/kvm/aia_imsic.c,540,542,CONFIG_32BIT,CONFIG_32BIT,CONFIG_32BIT=unset,False
linux-6.18-rc3/arch/riscv/kvm/aia_imsic.c,577,579,CONFIG_32BIT,CONFIG_32BIT,CONFIG_32BIT=unset,False
linux-6.18-rc3/arch/riscv/kvm/aia_imsic.c,671,673,CONFIG_32BIT,CONFIG_32BIT,CONFIG_32BIT=unset,False
linux-6.18-rc3/arch/riscv/kvm/vcpu_timer.c,74,76,defined(CONFIG_32BIT),CONFIG_32BIT,CONFIG_32BIT=unset,False
linux-6.18-rc3/arch/riscv/kvm/vcpu_timer.c,77,78,!(defined(CONFIG_32BIT)),CONFIG_32BIT,CONFIG_32BIT=unset,False
linux-6.18-rc3/arch/riscv/kvm/vcpu_timer.c,292,294,defined(CONFIG_32BIT),CONFIG_32BIT,CONFIG_32BIT=unset,False
